source_row,id,datetime_clean,datetime_source,conversion_needed,conversion_step,timestamp_status,timestamp_issue_codes,datetime_utc_reference,selected_minus_reference_seconds,time_policy_version,localtimes_raw,datetime_raw,lat_raw,lng_raw,lat_clean,lon_clean,coordinate_check,datetime_local,datetime_utc,previous_datetime_local,clock_change_seconds,local_date_changed,utc_date_changed,expected_weather_hours_10_preceding_days
16,9812976,2020-05-21T07:35:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-21T05:35:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-21T05:35:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-21 07:35:00,2020-05-21T05:35:00Z,2020-05-21T05:35:00+02:00,7200.0,False,False,264
17,9812974,2020-05-21T07:55:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-21T05:55:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-21T05:55:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-21 07:55:00,2020-05-21T05:55:00Z,2020-05-21T05:55:00+02:00,7200.0,False,False,264
18,9812972,2020-05-21T08:15:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-21T06:15:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-21T06:15:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-21 08:15:00,2020-05-21T06:15:00Z,2020-05-21T06:15:00+02:00,7200.0,False,False,264
19,9812970,2020-05-21T08:20:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-21T06:20:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-21T06:20:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-21 08:20:00,2020-05-21T06:20:00Z,2020-05-21T06:20:00+02:00,7200.0,False,False,264
20,9812968,2020-05-21T09:05:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-21T07:05:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-21T07:05:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-21 09:05:00,2020-05-21T07:05:00Z,2020-05-21T07:05:00+02:00,7200.0,False,False,264
21,9813796,2020-05-22T07:00:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-22T05:00:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-22T05:00:00+00:00,50.5649454,6.2038381,50.5649454,6.2038381,within_broad_germany_bounds,2020-05-22 07:00:00,2020-05-22T05:00:00Z,2020-05-22T05:00:00+02:00,7200.0,False,False,264
22,9812995,2020-05-26T06:45:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-26T04:45:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-26T04:45:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-26 06:45:00,2020-05-26T04:45:00Z,2020-05-26T04:45:00+02:00,7200.0,False,False,264
23,9813000,2020-05-26T07:00:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-26T05:00:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-26T05:00:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-26 07:00:00,2020-05-26T05:00:00Z,2020-05-26T05:00:00+02:00,7200.0,False,False,264
24,9812993,2020-05-26T07:25:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-26T05:25:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-26T05:25:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-26 07:25:00,2020-05-26T05:25:00Z,2020-05-26T05:25:00+02:00,7200.0,False,False,264
25,9812992,2020-05-26T07:35:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-26T05:35:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-26T05:35:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-26 07:35:00,2020-05-26T05:35:00Z,2020-05-26T05:35:00+02:00,7200.0,False,False,264
26,9812990,2020-05-26T07:55:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-26T05:55:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-26T05:55:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-26 07:55:00,2020-05-26T05:55:00Z,2020-05-26T05:55:00+02:00,7200.0,False,False,264
27,9812965,2020-05-26T08:15:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-26T06:15:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-26T06:15:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-26 08:15:00,2020-05-26T06:15:00Z,2020-05-26T06:15:00+02:00,7200.0,False,False,264
28,9812989,2020-05-26T08:20:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-26T06:20:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-26T06:20:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-26 08:20:00,2020-05-26T06:20:00Z,2020-05-26T06:20:00+02:00,7200.0,False,False,264
29,9812987,2020-05-26T09:05:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-26T07:05:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-26T07:05:00+00:00,50.712683431348914,6.216572094701247,50.712683431348914,6.216572094701247,within_broad_germany_bounds,2020-05-26 09:05:00,2020-05-26T07:05:00Z,2020-05-26T07:05:00+02:00,7200.0,False,False,264
30,9812826,2020-05-31T06:26:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:26:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:26:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 06:26:00,2020-05-31T04:26:00Z,2020-05-31T04:26:00+02:00,7200.0,False,False,264
31,9812824,2020-05-31T06:29:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:29:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:29:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 06:29:00,2020-05-31T04:29:00Z,2020-05-31T04:29:00+02:00,7200.0,False,False,264
32,9812823,2020-05-31T06:30:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:30:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:30:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 06:30:00,2020-05-31T04:30:00Z,2020-05-31T04:30:00+02:00,7200.0,False,False,264
33,9812842,2020-05-31T06:34:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:34:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:34:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 06:34:00,2020-05-31T04:34:00Z,2020-05-31T04:34:00+02:00,7200.0,False,False,264
34,9812841,2020-05-31T06:42:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:42:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:42:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 06:42:00,2020-05-31T04:42:00Z,2020-05-31T04:42:00+02:00,7200.0,False,False,264
35,9812822,2020-05-31T06:47:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:47:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:47:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 06:47:00,2020-05-31T04:47:00Z,2020-05-31T04:47:00+02:00,7200.0,False,False,264
36,9812838,2020-05-31T06:47:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:47:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:47:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 06:47:00,2020-05-31T04:47:00Z,2020-05-31T04:47:00+02:00,7200.0,False,False,264
37,9812821,2020-05-31T06:48:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:48:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:48:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 06:48:00,2020-05-31T04:48:00Z,2020-05-31T04:48:00+02:00,7200.0,False,False,264
38,9812837,2020-05-31T06:55:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:55:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:55:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 06:55:00,2020-05-31T04:55:00Z,2020-05-31T04:55:00+02:00,7200.0,False,False,264
39,9812724,2020-05-31T06:58:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T04:58:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T04:58:00+00:00,50.72065440680484,6.153647565856919,50.72065440680484,6.153647565856919,within_broad_germany_bounds,2020-05-31 06:58:00,2020-05-31T04:58:00Z,2020-05-31T04:58:00+02:00,7200.0,False,False,264
40,9812836,2020-05-31T07:02:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T05:02:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T05:02:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 07:02:00,2020-05-31T05:02:00Z,2020-05-31T05:02:00+02:00,7200.0,False,False,264
41,9812723,2020-05-31T07:06:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T05:06:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T05:06:00+00:00,50.72061859999999,6.1534454,50.72061859999999,6.1534454,within_broad_germany_bounds,2020-05-31 07:06:00,2020-05-31T05:06:00Z,2020-05-31T05:06:00+02:00,7200.0,False,False,264
42,9812834,2020-05-31T07:14:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T05:14:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T05:14:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 07:14:00,2020-05-31T05:14:00Z,2020-05-31T05:14:00+02:00,7200.0,False,False,264
43,9812720,2020-05-31T07:16:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T05:16:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T05:16:00+00:00,50.72061859999999,6.1534454,50.72061859999999,6.1534454,within_broad_germany_bounds,2020-05-31 07:16:00,2020-05-31T05:16:00Z,2020-05-31T05:16:00+02:00,7200.0,False,False,264
44,9812833,2020-05-31T07:24:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T05:24:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T05:24:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 07:24:00,2020-05-31T05:24:00Z,2020-05-31T05:24:00+02:00,7200.0,False,False,264
45,9812719,2020-05-31T07:26:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T05:26:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T05:26:00+00:00,50.72061859999999,6.1534454,50.72061859999999,6.1534454,within_broad_germany_bounds,2020-05-31 07:26:00,2020-05-31T05:26:00Z,2020-05-31T05:26:00+02:00,7200.0,False,False,264
46,9812716,2020-05-31T07:38:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T05:38:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T05:38:00+00:00,50.72061859999999,6.1534454,50.72061859999999,6.1534454,within_broad_germany_bounds,2020-05-31 07:38:00,2020-05-31T05:38:00Z,2020-05-31T05:38:00+02:00,7200.0,False,False,264
47,9812831,2020-05-31T07:39:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T05:39:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T05:39:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 07:39:00,2020-05-31T05:39:00Z,2020-05-31T05:39:00+02:00,7200.0,False,False,264
48,9812830,2020-05-31T08:28:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-31T06:28:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-31T06:28:00+00:00,50.744954,6.1544124,50.744954,6.1544124,within_broad_germany_bounds,2020-05-31 08:28:00,2020-05-31T06:28:00Z,2020-05-31T06:28:00+02:00,7200.0,False,False,264
49,13961813,2020-06-13T06:37:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T04:37:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T04:37:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 06:37:00,2020-06-13T04:37:00Z,2020-06-13T04:37:00+02:00,7200.0,False,False,264
50,13961814,2020-06-13T06:45:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-06-13T04:45:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-06-13T04:45:00+00:00,50.712849623447774,6.216674322625653,50.712849623447774,6.216674322625653,within_broad_germany_bounds,2020-06-13 06:45:00,2020-06-13T04:45:00Z,2020-06-13T04:45:00+02:00,7200.0,False,False,264
